name,landmark_id,tags,address,notes,contributor,lat,lng,is_delete,link,update_time_stamp,story_id
花旗球場,1050,,,,,40.7570877,-73.8458213,,0,,258
南翔小籠包,1049,,,,,40.7595751,-73.8324134,,0,,258
Kobayashiya,1048,,,,,35.6258497,134.8100594,,0,,257
采宏牛肉麵-原建宏牛肉麵,1047,,,,,25.0478727,121.5075179,,0,,256
雫石滑雪場,1046,,,,,39.7736975,140.9243345,,0,,255
沐作 Resin Woodwork,1045,,,,,24.2056657,120.6312149,,0,,255
ALL RIDE SKATE/SURF/SNOW,1044,,,,,25.0800142,121.5720337,,0,,255
櫻雪旅行社 滑雪中毒者,1043,,,,,25.0469941,121.5397795,,0,,255
Parkway Bakery & Tavern,1042,,,,,29.9736296,-90.0902549,,648,,254
The National WWII Museum,1041,,,,,29.9430711,-90.0705317,,565,,254
ACME 餐廳,1040,,,,,29.9544184,-90.0688424,,411,,254
Bourbon St,1039,,,,,29.9547116,-90.06916036,,0,,254
傑克遜廣場 (Jackson Square),1038,,,,,29.9574024,-90.0629495,,264,,254
cafe du monde new orleans coffee 世界咖啡館,1037,,,,,29.9576044,-90.0617687,,178,,254
大仁哥蔗香脆皮桶仔雞-宜蘭旗艦店,1036,,,,,24.7762382,121.7791937,,0,,253
雫石王子大飯店,1035,,,,,39.7750778,140.9301605,,0,,252
卯澳海洋驛站-新北 人氣必吃海鮮美食餐廳 平價特色料理 網紅雜誌熱門首選推薦,1034,,,,,25.0111933,121.9890071,,0,,251
中華料理東東(トントン),1033,,,,,35.7772027,139.9573335,,0,,250
Esco Beach Bar Lounge & Restaurant,1032,,,,,16.0658995,108.246011,,507,,249
Ớt Xanh Ocean Restaurant,1031,,,,,16.0666529,108.2459775,,193,,249
Minh Toan Ocean Hotel,1030,,,,,16.0669592,108.2449362,,0,,249
美溪沙灘,1029,,,,,16.0469997,108.25,,327,,248
巴拿山太陽世界,1028,,,,,16.0265144,108.0327972,,234,,248
五行山,1027,,,,,16.0034756,108.2645803,,195,,248
會安古鎮,1026,,,,,15.8772695,108.3297083,,170,,248
靈應寺,1025,,,,,16.0027644,108.2645824,,0,,248
Polo Fried Chicken,1024,,,,,13.7322268,100.545961,,640,,247
陳億粿條店,1023,,,,,13.7401837,100.5099661,,235,,247
Kor Panit’s Sticky Rice,1022,,,,,13.7520958,100.4983613,,374,,247
Elvis Suki,1021,,,,,13.7489052,100.5143204,,505,,247
紅大哥水門雞飯(總店),1020,,,,,13.7495863,100.5420894,,75,,247
上味泰餐馆,1019,,,,,13.7202104,100.5680671,,0,,246
紅大哥水門雞飯(總店),1018,,,,,13.7495863,100.5420894,,0,,246
吞武里市場,1017,,,,,13.7847965,100.3971688,,0,,244
La Rochela,1016,,,,,40.4336553,-3.7025217,,840,,242
Perrachica,1015,,,,,40.4337343,-3.7027922,,1009,,242
Restaurante San Cristóbal,1014,,,,,40.415842,-3.7056157,,1117,,242
el retiro park麗池公園,1013,,,,,40.4152606,-3.6844995,,715,,242
火腿博物館 (Museo del Jamón),1012,,,,,40.416563,-3.701547,,416,,242
Chocolatería San Ginés,1011,,,,,40.4167407,-3.7069176,,191,,242
佬法室 ,1010,,,,,24.7848189,121.0105686,,313,,241
桂冠壽司,1009,,,,,24.8148263,120.9756869,,206,,241
布蕾咖啡,1008,,,,,24.7862947,121.015067,,13,,241
Piccola Enoteca 彼刻義式餐酒館,1007,,,,,24.8194758,121.0245357,,155,,240
沖繩拉麵 六家,1006,,,,,24.8203395,121.0229224,,296,,240
榅燻Comfort Table Smoke BBQ,1005,,,,,24.8361557,121.0113233,,456,,240
芭樂王,1004,,,,,23.9032467,120.6047107,,985,,239
阿來羊肉,1003,,,,,24.0249167,120.5385871,,526,,239
許記花壇肉羹,1002,,,,,24.02514,120.538308,,155,,239
山間倉房,1001,,,,,24.975321,121.5008455,,0,,238
Macy's,1000,,,,,40.750831,-73.9890961,,0,,237
眾神花園 (Garden of the Gods),999,,,,,38.8717933,-104.8861757,,713,,236
Pawnee Campground/Long Lake Trailhead,998,,,,,40.0788947,-105.5788466,,572,,236
Meow Wolf Denver | Convergence Station,997,,,,,39.7408201,-105.0156629,,487,,236
Summit Lake Park,996,,,,,39.5985501,-105.6405884,,248,,236
Denver Union Station,995,,,,,39.7531499,-105.0001518,,134,,236
Red Rocks Park and Amphitheatre,994,,,,,39.6655381,-105.2052116,,0,,236
SuperMegaBien,993,,,,,39.7572539,-104.986322,,516,,235
El Five,992,,,,,39.7591116,-105.0115013,,422,,235
"Tocabe, An American Indian Eatery",991,,,,,39.7765526,-105.0342438,,285,,235
Sherpa House Restaurant and Culture Center,990,,,,,39.7522694,-105.2188278,,130,,235
City O' City,989,,,,,39.7366908,-104.9846353,,12,,235
Qurum Beach,988,,,,,23.6250104,58.4792805,,953,,234
Qurum Natural Park,987,,,,,23.6215814,58.4927579,,541,,234
卡布斯蘇丹大清真寺 (Sultan Qaboos Grand Mosque),986,,,,,23.5838077,58.3886687,,409,,234
Nizwa Fort,985,,,,,22.933212,57.530196,,246,,234
Wadi Ash Shab,984,,,,,22.8108841,59.18171,,68,,234
Al aman hotel apartment,983,,,,,23.5826933,58.3891249,,257,,233
Lebanese Restaurant Al Khuwair,982,,,Al Jood Restaurant,,23.5913209,58.4300002,,584,,233
Casa de Pilatos,981,,,,,37.3899991,-5.9872061,,825,,232
Iglesia Colegial del Divino Salvador,980,,,,,37.3899966,-5.9928375,,805,,232
La Giralda,979,,,,,37.3861784,-5.9926137,,741,,232
Catedral de Sevilla,978,,,,,37.3858247,-5.9931068,,700,,232
Alameda de Hércules,977,,,,,37.3988199,-5.9935881,,657,,232
Metropol Parasol / Las Setas (The Mushrooms of Seville),976,,,,,37.3932701,-5.9917478,,616,,232
Antiquarium,975,,,,,37.3936966,-5.992124,,557,,232
Palacio de las Dueñas,974,,,,,37.3948492,-5.9893635,,504,,232
Triana & Torre del Oro,973,,,,,37.3824529,-5.9963128,,360,,232
Real Alcázar of Seville,972,,,,,37.3830519,-5.9902257,,195,,232
Santa Cruz,971,,,,,37.38433235,-5.990369054,,152,,232
Parque de María Luisa,970,,,,,37.3744981,-5.9883176,,123,,232
Plaza de España,969,,,,,37.37734061,-5.986807173,,51,,232
OwlStay故事所 夾腳拖的家 花園,968,,,,,25.05054,121.518145,,0,,231
聖特爾莫橋,967,,,,,37.38081749,-5.996280478,,484,,230
都市陽傘,966,,,,,37.39346596,-5.991733994,,445,,230
塞維亞鬥牛廣場,965,,,,,37.3859934,-5.9984005,,429,,230
黃金塔,964,,,,,37.38251255,-5.996237702,,392,,230
新廣場,963,,,,,37.38873671,-5.994784185,,373,,230
憲法大道,962,,,,,37.385393,-5.994011254,,354,,230
塞維亞大學,961,,,,,37.3807579,-5.9912307,,332,,230
阿方索十三世酒店,960,,,,,37.3814838,-5.9926592,,325,,230
卡比爾多廣場,959,,,,,37.3856078,-5.9946872,,298,,230
塞維亞王宮,958,,,,,37.3830519,-5.9902257,,194,,230
塞維亞主教堂,957,,,,,37.3858247,-5.9931068,,117,,230
西班牙廣場,956,,,,,37.3771957,-5.986893,,57,,230
Vinitus,955,,,,,41.3900261,2.1640484,,0,,229
佳珍飲食店,954,,,,,24.782063,121.0201476,,0,,227
永和炒飯,953,,,,,24.8178702,120.9707678,,0,,227
舊港2號鮮味料理,952,,,,,24.7814209,121.022764,,0,,227
一碗香粥飯麵食館,951,,,,,24.7920936,120.9271893,,0,,227
黑隆美食,950,,,,,24.8033063,120.9647221,,0,,227
米舖,949,,,,,24.8015026,120.9673023,,0,,227
御廚雲泰美食,948,,,,,24.8095667,120.9640027,,0,,227
北門來呷・燒米研製所,947,,,,,24.8065523,120.9659644,,0,,227
眼鏡大叔の米食研究所,946,,,,,24.8177221,120.972814,,0,,227
金順發食事坊,945,,,什錦炒飯,,24.8090896,120.9726913,,0,,227
朱記餡餅粥店 巨城百貨新竹店,944,,,,,24.8094444,120.9747222,,0,,227
TeaYammi,943,,,,,48.8667834,2.3352582,,593,,226
Le 37m2,942,,,,,48.8687344,2.3367197,,467,,226
CIAO ROUE 台灣車輪餅,941,,,台灣車輪餅,,48.8624473,2.3570351,,167,,226
鼎倫牛肉麵 (台東),940,,,,,22.5312573,120.9661638,,1522,,225
一碗小 (花蓮),939,,,,,23.9818828,121.6091228,,1432,,225
二鬼麵舖 (宜蘭),938,,,,,24.7562956,121.7577699,,1338,,225
廣東汕頭牛肉麵 (基隆),937,,,,,25.1459565,121.7393944,,1247,,225
牛爸爸牛肉麵 (台北),936,,,,,25.0690113,121.594563,,1149,,225
富宏牛肉麵 (台北),935,,,,,25.0476197,121.5077358,,1069,,225
大庭牛肉麵 (新北),934,,,,,25.017794,121.457455,,1003,,225
永川牛肉麵 (桃園),933,,,,,24.9564113,121.2171367,,971,,225
段純貞牛肉麵 建功店 (新竹),932,,,,,24.8026457,120.9937853,,882,,225
白沙屯外省牛肉麵 (苗栗),931,,,,,24.561691,120.7080446,,816,,225
老爹牛肉麵 (金門),930,,,,,24.4404261,118.4136619,,792,,225
老夫子牛肉麵 (台中),929,,,,,24.1579299,120.6907668,,688,,225
八張牛肉麵 (南投),928,,,,,23.8287262,120.794967,,641,,225
聞香牛肉麵 (彰化),927,,,,,24.0832296,120.555724,,562,,225
老謝牛肉麵 (雲林)☆,926,,,,,23.6972522,120.537668,,500,,225
王記川味牛肉麵 (嘉義),925,,,,,23.4790177,120.4292194,,429,,225
黃先生麵舖 (台南),924,,,,,22.9956986,120.229046,,307,,225
阿秀小吃部牛肉麵 (屏東) ★,923,,,,,22.666468,120.465105,,222,,225
美東芳牛肉麵 (澎湖),922,,,,,23.6482955,119.5990811,,164,,225
大牛牛肉麵 四維總店 (高雄),921,,,,,22.6193988,120.3096378,,66,,225
漁采 時令料理,920,,,,,22.7643585,121.1380977,,396,,224
陳記麻糬,919,,,,,22.7601924,121.1513338,,314,,224
陳家蔥油餅黑輪,918,,,,,22.7572913,121.1563984,,217,,224
曾記脆皮臭豆腐,917,,,,,22.7537373,121.1567159,,125,,224
吳記家傳手工蔥油餅,916,,,,,22.7673599,121.1437298,,30,,224
Pizzeria Brandi,915,,,,,40.8367116,14.2468161,,1274,,223
Funicolare mergellina,914,,,,,40.82635,14.2194713,,1146,,223
Spaccanapoli,913,,,,,40.85039168,14.25935352,,1093,,223
L'Antica Pizzeria da Michele,912,,,,,40.8497563,14.2633002,,867,,223
Duomo Station,911,,,,,40.84774,14.261591,,849,,223
toledo station,910,,,,,40.8424948,14.2489206,,810,,223
Galleria Umberto,909,,,,,40.8386518,14.2494166,,728,,223
那不勒斯王宮,908,,,,,40.8362316,14.2494027,,613,,223
Ostello Bello Napoli,907,,,,,40.8424871,14.2508688,,0,,223
新耶穌教堂 (Chiesa del Gesù Nuovo),906,,,,,40.8473898,14.2519925,,95,,223
Gino e Toto Sorbillo,905,,,,,40.8503854,14.2553028,,153,,223
Sri Trat Restaurant and Bar,904,,,豬肉鹹魚餅220฿ 慢燉豬肉咖哩250฿ 很想二刷指數 4/5,,13.7367855,100.5655184,,921,,222
The Local,903,,,三味醬炸海鱺680฿ 綜合開胃菜290฿ 很想二刷指數 4.5/5,,13.7406459,100.5610277,,779,,222
Here Hai,902,,,蟹肉歐姆蛋480฿ 嘎拋辣炒皮皮蝦430฿ 很想二刷指數 5/5,,13.7302707,100.5837671,,648,,222
王春盛牛肉火鍋,901,,,牛雜火鍋200฿ 牛腱60฿ 毛肚60฿ 很想二刷指數 6/5,,13.7165926,100.5584301,,505,,222
Bangkok Bold Kitchen at Central Embassy,900,,,,,13.7441116,100.5435071,,402,,222
Thai Niyom Cuisine,899,,,泰北咖哩雞腿麵185฿ 椰奶烤雞160฿ 很想二刷指數 4/5,,13.7419162,100.5465601,,282,,222
澤記酒家,898,,,牛肉燴麵160฿ 鮮肉雲吞湯120฿ 炸雲吞40฿ 很想二刷指數 4.5/5,,13.7628605,100.5393373,,150,,222
陳瑞興餐室,897,,,陶鍋鴨肉煲200฿ 鴨肉湯麵60฿ 很想二刷指數 5/5,,13.7468617,100.5237712,,21,,222
Nazuna Kyoto Gosho,896,,,,,35.0158832,135.7571696,,408,,221
京都千酒店 (The Thousand Kyoto),895,,,,,34.9864196,135.7612921,,2384,,221
錦市場,894,,,,,35.0050258,135.764723,,1667,,221
南禪寺,893,,,,,35.0114138,135.7944841,,981,,221
田浦歐洲風咖啡廳 카페보니따인더하우스,892,,,,,35.1529674,129.0670367,,683,,220
鯨酒海關 경주해관,891,,,,,35.10206661,129.0345149,,431,,220
